target,provider,lead,tmax,tmin,precip,wind
2025-09-10,icon,4,19.9,13.1,5.3,7.1
2025-09-10,icon,5,17.9,13.8,7.7,5.2
2025-09-10,icon,6,22.2,14.5,8.6,12.6
2025-09-10,ukmo,1,21.3,14.8,0,8.6
2025-09-10,ukmo,2,16.9,12.5,0,5
2025-09-10,ukmo,3,16.5,13.3,17.3,12.6
2025-09-10,ukmo,4,18.7,13.4,0,8.3
2025-09-10,ukmo,5,20.4,12.3,3.8,12.6
2025-09-10,ukmo,6,22.8,15.9,2.5,10.1
2025-09-11,arpege,1,19,13.5,1.4,
2025-09-11,arpege,2,18.4,12.8,0.7,
2025-09-11,arpege,3,19.4,12.9,0,
2025-09-11,ecmwf,1,19,13.2,1.2,18.5
2025-09-11,ecmwf,2,19.2,12.2,0.6,17.8
2025-09-11,ecmwf,3,20.2,12.1,0.3,18.7
2025-09-11,ecmwf,4,20.6,11.8,0.9,16.6
2025-09-11,ecmwf,5,22.7,12.7,0,10
2025-09-11,ecmwf,6,21.5,13.1,0.6,18.2
2025-09-11,ecmwf,7,19.5,12.8,0.6,16
2025-09-11,gem,1,19.5,10.6,1.5,17.6
2025-09-11,gem,2,18.7,11.6,0.3,17.3
2025-09-11,gem,3,19.6,11.5,0.3,15.5
2025-09-11,gem,4,21.8,11.5,0.6,11.9
2025-09-11,gem,5,22.6,10.4,0.9,13.3
2025-09-11,gem,6,19.5,13.2,0.6,13
2025-09-11,gem,7,19.6,12.1,1.8,18.7
2025-09-11,gfs,1,19.6,12.9,1.2,19.5
2025-09-11,gfs,2,20,13,1.3,17.7
2025-09-11,gfs,3,20.9,12.1,0.1,19.5
2025-09-11,gfs,4,22.2,11.1,0,22.2
2025-09-11,gfs,5,23.3,11.6,0,14.8
2025-09-11,gfs,6,22.9,12,0,15.1
2025-09-11,gfs,7,22.1,15.2,0.2,18.8
2025-09-11,icon,1,18.9,14.1,2.4,17.5
2025-09-11,icon,2,19.3,13.1,1.6,16
2025-09-11,icon,3,20.1,11.6,0,14.4
2025-09-11,icon,4,19,11.8,0.5,13.8
2025-09-11,icon,5,21.1,13.9,1.8,18
2025-09-11,icon,6,22.7,12.6,0.6,8
2025-09-11,ukmo,1,19.2,15.7,0.1,20.9
2025-09-11,ukmo,2,19.6,14.4,1.1,19.8
2025-09-11,ukmo,3,20.5,13.8,0.9,19.1
2025-09-11,ukmo,4,20.1,12.7,1.7,17.6
2025-09-11,ukmo,5,19.8,13.1,0.2,17.3
2025-09-11,ukmo,6,22.3,11.4,5.8,14.4
2025-09-12,arpege,1,19.3,13.2,3.2,
2025-09-12,arpege,2,18.9,12.4,3.5,
2025-09-12,arpege,3,20.4,12.9,0.4,
2025-09-12,ecmwf,1,19,12.6,1.2,14
2025-09-12,ecmwf,2,19.3,12.3,6.3,13.2
2025-09-12,ecmwf,3,18.5,12.5,2.4,14.8
2025-09-12,ecmwf,4,18.7,12.7,0.9,13.7
2025-09-12,ecmwf,5,20.5,13.2,0,14
2025-09-12,ecmwf,6,21.2,13.2,1.5,16.2
2025-09-12,ecmwf,7,21.5,11.9,7.2,12
2025-09-12,gem,1,17.4,8.8,0.3,15.8
2025-09-12,gem,2,17.8,8.9,0,15.8
2025-09-12,gem,3,18.9,10.2,0.6,13.7
2025-09-12,gem,4,19.3,8.6,0,14.4
