target,provider,lead,tmax,tmin,precip,wind
2026-09-13,icon,6,24.9,10.7,0,7.9
2026-09-13,ukmo,1,24.3,17.9,0.3,17.6
2026-09-13,ukmo,2,21.1,17.1,9.6,11.2
2026-09-13,ukmo,3,21.1,16.7,8.4,12.6
2026-09-13,ukmo,4,22.9,16.4,3,12.2
2026-09-13,ukmo,5,25.9,17.6,0.6,12.2
2026-09-13,ukmo,6,21.5,13.9,0,5.8
2026-09-14,arpege,1,22.6,14.2,0,12.5
2026-09-14,arpege,2,21.1,13.8,0,6.6
2026-09-14,arpege,3,22.2,16.3,0.1,7.7
2026-09-14,ecmwf,1,23.8,15.7,0.3,6.6
2026-09-14,ecmwf,2,21.7,16,0.3,4.9
2026-09-14,ecmwf,3,24,16.1,3,10.2
2026-09-14,ecmwf,4,24.9,14.8,0.3,7.6
2026-09-14,ecmwf,5,28.3,16.5,0.6,7.2
2026-09-14,ecmwf,6,22.5,15.6,0,8.7
2026-09-14,ecmwf,7,24.5,14.7,0,11.4
2026-09-14,gem,1,23.1,12.8,0,7.6
2026-09-14,gem,2,22.2,10.9,0,7.9
2026-09-14,gem,3,23.9,13.5,0,8.3
2026-09-14,gem,4,22.1,13.9,0.5,9.7
2026-09-14,gem,5,22.8,13.9,0,7.9
2026-09-14,gem,6,23.1,11.5,0,8.6
2026-09-14,gem,7,21.7,10.9,0,9.4
2026-09-14,gfs,1,24.3,16.1,0.4,6.3
2026-09-14,gfs,2,23.2,16.1,0.2,6.3
2026-09-14,gfs,3,23.7,16.4,0.2,6.6
2026-09-14,gfs,4,25.3,15.4,0.1,6.2
2026-09-14,gfs,5,23.8,15.1,0,6.4
2026-09-14,gfs,6,23.1,16.3,0,7.4
2026-09-14,gfs,7,25.1,16.3,0,12.2
2026-09-14,icon,1,23.3,15.9,0,4.2
2026-09-14,icon,2,23.3,13.3,0,3.9
2026-09-14,icon,3,22.6,14.5,0,4.4
2026-09-14,icon,4,22.9,13.8,0,6.6
2026-09-14,icon,5,26.2,15.1,0,6.6
2026-09-14,icon,6,27.9,11.1,0,3.9
2026-09-14,ukmo,1,24.7,15.9,0.1,7.6
2026-09-14,ukmo,2,23.3,15.7,0,7.6
2026-09-14,ukmo,3,22.5,15.8,0,10.1
2026-09-14,ukmo,4,22.8,15.4,0.4,7.6
2026-09-14,ukmo,5,21.7,16.6,3.9,9.4
2026-09-14,ukmo,6,22.5,16.1,0,10.4
2026-09-15,arpege,1,27.1,13.8,0,7.4
2026-09-15,arpege,2,25.7,13.7,0,6.2
2026-09-15,arpege,3,23.6,13.2,0,6.3
2026-09-15,ecmwf,1,26.5,14.3,0,9.4
2026-09-15,ecmwf,2,25.9,14.1,0,10.3
2026-09-15,ecmwf,3,25.2,14.1,0,6.1
2026-09-15,ecmwf,4,26.2,14.8,0,8.6
2026-09-15,ecmwf,5,27.4,13.1,2.1,21.2
2026-09-15,ecmwf,6,31.2,14.1,0,16.1
2026-09-15,ecmwf,7,22.6,14.8,0,8.4
2026-09-15,gem,1,25.5,12.3,0,8.3
2026-09-15,gem,2,26.2,11.8,0,7.9
