target,provider,lead,tmax,tmin,precip,wind
2026-06-18,ecmwf,7,28.7,17.4,0,11.3
2026-06-18,icon,1,30,16.5,0,19.2
2026-06-18,icon,2,29,16.9,0,15.9
2026-06-18,icon,3,27.3,16.3,0,12.2
2026-06-18,icon,4,27.8,17.6,0,13.7
2026-06-18,icon,5,28.7,16.7,0,18.4
2026-06-18,icon,6,29.4,15.4,0,12.5
2026-06-19,ecmwf,1,33.2,20.2,3.3,12
2026-06-19,ecmwf,2,32.5,18.4,0.3,7.9
2026-06-19,ecmwf,3,31.9,18.1,2.4,9.2
2026-06-19,ecmwf,4,33,18.7,0,9.4
2026-06-19,ecmwf,5,32.8,18.5,0.3,11.3
2026-06-19,ecmwf,6,29.8,13,2.1,11.6
2026-06-19,ecmwf,7,27,17.5,0,7.9
2026-06-19,icon,1,35,18.9,3,13.7
2026-06-19,icon,2,34.8,19.8,0.6,11.8
2026-06-19,icon,3,33.9,20.6,0.4,12.7
2026-06-19,icon,4,33.8,19.7,0.3,10.3
2026-06-19,icon,5,33.4,18.9,0.6,14.4
2026-06-19,icon,6,34.2,12.9,0,13.3
2026-06-20,ecmwf,1,32.7,19.9,1.5,10.6
2026-06-20,ecmwf,2,32.6,21,0.3,13.3
2026-06-20,ecmwf,3,31.9,20.3,3,11.3
2026-06-20,ecmwf,4,30.3,20.4,9.3,9.4
2026-06-20,ecmwf,5,31.8,20.9,0.3,10.1
2026-06-20,ecmwf,6,28.8,20,8.4,11.6
2026-06-20,ecmwf,7,31.4,19.5,1.8,9.1
2026-06-20,icon,1,33.7,20.1,0.9,21.4
2026-06-20,icon,2,34.3,23.5,1.4,18.9
2026-06-20,icon,3,35.3,21.3,1.6,17.7
2026-06-20,icon,4,35,21.4,2.5,13.8
2026-06-20,icon,5,31.9,21.7,5.4,10
2026-06-20,icon,6,28.3,18.8,2.2,17.2
2026-06-21,ecmwf,1,28.1,18.5,6.6,14.5
2026-06-21,ecmwf,2,29,18.6,6.6,10
2026-06-21,ecmwf,3,29,18.5,0.3,10.9
2026-06-21,ecmwf,4,26.7,17.8,0,12.3
2026-06-21,ecmwf,5,28.7,18.7,0,11.2
2026-06-21,ecmwf,6,34,20.3,0.9,8.7
2026-06-21,ecmwf,7,24.5,17.1,0,10.3
2026-06-21,icon,1,25.8,17.4,1.1,12.3
2026-06-21,icon,2,26.7,17.3,2.6,8
2026-06-21,icon,3,28.6,16.9,0.1,11
2026-06-21,icon,4,28.3,16.1,0,9.2
2026-06-21,icon,5,26.4,14.4,0,7.6
2026-06-21,icon,6,28.8,16.9,0,11
2026-06-22,ecmwf,1,28.1,18.1,0.6,12.8
2026-06-22,ecmwf,2,28.3,17.8,0,16.8
2026-06-22,ecmwf,3,27.7,17.1,11.7,13.5
2026-06-22,ecmwf,4,29.5,18.9,0.6,11.1
2026-06-22,ecmwf,5,30.4,15.4,0,13.1
2026-06-22,ecmwf,6,30.8,24,0.3,10.5
2026-06-22,ecmwf,7,37.1,19.4,0.6,9.3
2026-06-22,icon,1,28,17.1,0,14.4
2026-06-22,icon,2,26.7,18.9,0,11.3
2026-06-22,icon,3,28.2,18,0,11.5
2026-06-22,icon,4,31.2,16.7,0,12.3
2026-06-22,icon,5,26.9,11.8,0,9.6
2026-06-22,icon,6,24.4,14.9,0,12.5
2026-06-23,ecmwf,1,28.1,15.5,0,10.1
2026-06-23,ecmwf,2,27.3,15.6,0,9.5
2026-06-23,ecmwf,3,27,16.2,0,8.6
2026-06-23,ecmwf,4,26.8,18.5,0,9.9
2026-06-23,ecmwf,5,31.5,21.4,3.3,11.7
2026-06-23,ecmwf,6,34.5,20.5,3,17.3
2026-06-23,ecmwf,7,32.9,19.6,9.6,18.7
2026-06-23,icon,1,27,14.9,0,10.4
2026-06-23,icon,2,26.8,15.5,0,7.9
2026-06-23,icon,3,30.5,18.4,0,6.9
2026-06-23,icon,4,30.4,20.4,0.8,5.4
2026-06-23,icon,5,35.9,17.1,0.5,20.2
2026-06-23,icon,6,30.9,11.6,0,12.8
2026-06-24,ecmwf,1,31.9,17.1,0,8.1
2026-06-24,ecmwf,2,31.6,16.3,0,7.6
2026-06-24,ecmwf,3,31.7,16.4,0,9.2
2026-06-24,ecmwf,4,31.8,17,0,10
2026-06-24,ecmwf,5,32.4,21.8,1.2,11.5
2026-06-24,ecmwf,6,31.6,19.5,0,18.2
2026-06-24,ecmwf,7,24.4,13.8,0.3,16.6
2026-06-24,icon,1,32.3,16.6,0,7.1
2026-06-24,icon,2,32.8,17,0,8.4
2026-06-24,icon,3,32.2,17.3,0,12
2026-06-24,icon,4,30.3,20.2,0,17.4
2026-06-24,icon,5,31.5,17.9,0,19.6
2026-06-24,icon,6,27.1,16.3,0,20.3
2026-06-25,ecmwf,1,31.8,19.6,0,10.8
2026-06-25,ecmwf,2,31.9,20.5,0,10.9
2026-06-25,ecmwf,3,32.7,20.5,0,11.2
2026-06-25,ecmwf,4,32.9,18.6,0,11
2026-06-25,ecmwf,5,34.4,18.4,0,11.6
2026-06-25,ecmwf,6,26.2,14.5,0,14.1
2026-06-25,ecmwf,7,21.7,14.4,0,16.7
2026-06-25,icon,1,32.3,19.4,0,14.5
2026-06-25,icon,2,32.5,21.9,0,10.1
2026-06-25,icon,3,31.5,20,0,11
2026-06-25,icon,4,33.9,17.4,0,13
2026-06-25,icon,5,26.6,13.7,0,10.7
2026-06-25,icon,6,24.1,12.4,0,15.3
2026-06-26,ecmwf,1,35,19.1,0,12
2026-06-26,ecmwf,2,35.6,19.8,0,11.7
2026-06-26,ecmwf,3,35.9,20.8,0,10.4
2026-06-26,ecmwf,4,35.7,22.1,0,11.8
2026-06-26,ecmwf,5,37.1,22.8,0,10.9
2026-06-26,ecmwf,6,36.9,17.2,0,10.7
2026-06-26,ecmwf,7,30,13,0,11.6
2026-06-26,icon,1,35.3,17.5,0,14.8
2026-06-26,icon,2,36.3,17.8,0,12.4
2026-06-26,icon,3,35.3,20.1,0,13.6
2026-06-26,icon,4,33.1,18.8,0,14
2026-06-26,icon,5,33.9,15.9,0,17.8
2026-06-26,icon,6,30.2,12,0,12.1
2026-06-27,ecmwf,1,37.3,25,0,14.1
2026-06-27,ecmwf,2,37.7,24.6,0,11.1
2026-06-27,ecmwf,3,37.7,24.8,0,10.2
2026-06-27,ecmwf,4,37.9,25.2,0.3,11.8
2026-06-27,ecmwf,5,38.3,25.1,0,9.5
2026-06-27,ecmwf,6,39.4,25.8,1.2,14.5
2026-06-27,ecmwf,7,38.9,22,0,16.9
2026-06-27,icon,1,38.6,23.6,0,11.8
2026-06-27,icon,2,38.8,24.1,1.3,10
2026-06-27,icon,3,36.9,24.6,1.1,9.6
2026-06-27,icon,4,38.8,25.1,0.3,11.3
2026-06-27,icon,5,37.6,20.9,0,12.3
2026-06-27,icon,6,35.3,19,6.2,11.7
2026-06-28,ecmwf,1,32.1,24.3,0.9,16.5
2026-06-28,ecmwf,2,33.5,24.7,0.6,15.6
2026-06-28,ecmwf,3,38.3,25.4,4.8,15.9
2026-06-28,ecmwf,4,40.2,25.7,5.1,11.5
2026-06-28,ecmwf,5,40.2,26.4,2.1,14.4
2026-06-28,ecmwf,6,40.6,24.1,5.4,11.6
2026-06-28,ecmwf,7,35.5,22.7,3,11.3
2026-06-28,icon,1,34.7,23.6,0,17.3
2026-06-28,icon,2,34.2,25,0.6,20.1
2026-06-28,icon,3,37.7,23.8,5.6,19.2
2026-06-28,icon,4,36.9,22.3,4.3,16.3
2026-06-28,icon,5,34.6,23.4,1.8,18.6
2026-06-28,icon,6,31.6,19.9,6.3,17.7
2026-06-29,ecmwf,1,25.4,19.1,9.9,13.5
2026-06-29,ecmwf,2,25,18.7,19.2,12.6
2026-06-29,ecmwf,3,27.5,19.8,3,12.4
2026-06-29,ecmwf,4,27.1,19.2,3.3,15.2
2026-06-29,ecmwf,5,27.6,20.5,0.6,21.9
2026-06-29,ecmwf,6,27.6,20.8,9,17
2026-06-29,ecmwf,7,30.6,22.6,1.8,17.5
2026-06-29,icon,1,25.7,19,28.5,11.5
2026-06-29,icon,2,26.3,20.1,41.4,9.7
2026-06-29,icon,3,27.4,20.6,0.6,11.2
2026-06-29,icon,4,26.4,17.6,3.3,15.5
2026-06-29,icon,5,23.6,17.3,20.8,17.3
2026-06-29,icon,6,26,17.9,3.6,9.6
2026-06-30,ecmwf,1,27.3,15,1.2,10.2
2026-06-30,ecmwf,2,26,15.2,5.4,12.2
2026-06-30,ecmwf,3,24.4,16.5,5.1,11.5
2026-06-30,ecmwf,4,25,16.2,9.3,12.1
2026-06-30,ecmwf,5,27.1,14,4.8,11.6
2026-06-30,ecmwf,6,24.6,16.5,0,11
2026-06-30,ecmwf,7,25.5,18.5,0.9,13.3
2026-06-30,icon,1,27.5,16.1,2.1,15.4
2026-06-30,icon,2,27.9,15.9,1.9,14.3
2026-06-30,icon,3,27.5,17.7,14.2,17.1
2026-06-30,icon,4,26.4,16.8,17.4,16
2026-06-30,icon,5,26.5,14,0,12.6
2026-06-30,icon,6,25.1,11.6,0,6.4
2026-07-01,ecmwf,1,24,16.6,6.9,13.2
2026-07-01,ecmwf,2,23.5,16.6,5.4,19.1
2026-07-01,ecmwf,3,24,17.7,7.5,13.8
2026-07-01,ecmwf,4,24.9,16.9,0.9,13.7
2026-07-01,ecmwf,5,22.9,16.5,12.3,15.2
2026-07-01,ecmwf,6,23.7,15,1.5,12.9
2026-07-01,ecmwf,7,22.9,15.5,12.3,11.5
2026-07-01,icon,1,25.3,17.8,2.1,21.3
2026-07-01,icon,2,24.1,17.8,7,16.8
2026-07-01,icon,3,22.8,15.6,20.2,16
2026-07-01,icon,4,24,16.1,10,15.3
2026-07-01,icon,5,22.3,13.3,2,16.3
2026-07-01,icon,6,23.5,16.4,1.3,11.5
2026-07-02,ecmwf,1,24.2,13.2,1.8,24.5
2026-07-02,ecmwf,2,24.2,12.6,0.9,21.9
2026-07-02,ecmwf,3,23.9,14.1,0.9,20.1
2026-07-02,ecmwf,4,25.1,14.9,2.7,25.9
2026-07-02,ecmwf,5,25.2,12.8,1.8,19.8
2026-07-02,ecmwf,6,21.3,13.1,1.8,15.1
2026-07-02,ecmwf,7,24.1,13.3,1.8,14.9
2026-07-02,icon,1,22.1,14,0.5,25.6
2026-07-02,icon,2,21.8,13.7,2.3,20.7
2026-07-02,icon,3,21.7,13.9,1.9,26.5
2026-07-02,icon,4,24.4,16.8,0.3,20.1
2026-07-02,icon,5,23.9,14.5,7.5,18.8
2026-07-02,icon,6,22,11.7,0.3,17.3
2026-07-03,ecmwf,1,20.9,13.6,0.9,25.3
2026-07-03,ecmwf,2,20.5,13.3,1.5,25.3
2026-07-03,ecmwf,3,21.1,12.8,0.9,23.5
2026-07-03,ecmwf,4,20.9,12.8,0.9,20.3
2026-07-03,ecmwf,5,21.3,12.4,0.3,23.4
2026-07-03,ecmwf,6,20.6,15.4,0,20.1
2026-07-03,ecmwf,7,20.9,14.7,1.5,15.7
2026-07-03,icon,1,22.8,13.3,0.1,30.5
2026-07-03,icon,2,22,13.6,0,24
2026-07-03,icon,3,21.6,13.4,0,25
2026-07-03,icon,4,20.7,14.2,0,25.6
2026-07-03,icon,5,21,14.6,0.6,29.5
2026-07-03,icon,6,19,13.1,4.6,25.9
2026-07-04,ecmwf,1,18.7,12.1,9,19.4
2026-07-04,ecmwf,2,18.7,12.3,4.2,16.2
2026-07-04,ecmwf,3,23.5,11.7,0.9,16.6
2026-07-04,ecmwf,4,23.6,12.8,0.3,16.6
2026-07-04,ecmwf,5,28,11.8,0.6,24.6
2026-07-04,ecmwf,6,23.8,13.5,0,25.4
2026-07-04,ecmwf,7,25.3,14.2,0.6,26.2
2026-07-04,icon,1,18.9,12.6,3.9,17.7
2026-07-04,icon,2,20.7,12.2,3.8,16.6
2026-07-04,icon,3,23.4,12.4,0.9,22
2026-07-04,icon,4,23.8,12.6,0,23.3
2026-07-04,icon,5,22.2,13.3,3.7,26.3
2026-07-04,icon,6,22.2,13.2,0.2,24.6
2026-07-05,ecmwf,1,19.8,15.1,3.6,20.3
2026-07-05,ecmwf,2,20.3,14.6,3.3,21.1
2026-07-05,ecmwf,3,21.9,15.7,4.8,20.6
2026-07-05,ecmwf,4,20.6,15.6,7.5,20.7
2026-07-05,ecmwf,5,21,15.8,3.9,20.8
2026-07-05,ecmwf,6,21.8,15.7,1.8,20.9
2026-07-05,ecmwf,7,22.6,12.9,2.4,16.3
2026-07-05,icon,1,21.1,14.9,1.2,21.6
2026-07-05,icon,2,21.8,16.7,1.8,18.1
2026-07-05,icon,3,21.5,16.6,4.3,19.9
2026-07-05,icon,4,21.4,17.5,2.3,19.4
2026-07-05,icon,5,23.6,14.2,0.1,23
2026-07-05,icon,6,23.8,13.5,0,22.9
2026-07-06,ecmwf,1,22.5,14.6,4.2,22.8
2026-07-06,ecmwf,2,21.6,13.6,2.4,22.3
2026-07-06,ecmwf,3,19.5,15.3,6.6,18.3
2026-07-06,ecmwf,4,20.7,15.7,1.8,19.7
2026-07-06,ecmwf,5,18.7,14.8,5.1,19
2026-07-06,ecmwf,6,19.2,15.4,4.8,17
2026-07-06,ecmwf,7,20.1,13.3,0.3,20.8
2026-07-06,icon,1,20.4,14.3,1.2,21.3
2026-07-06,icon,2,21.2,14.6,1.3,19.8
2026-07-06,icon,3,21.4,16,4.1,20.5
2026-07-06,icon,4,22.5,16.4,1.9,21.6
2026-07-06,icon,5,21,14.5,0.6,18.2
2026-07-06,icon,6,29,14.1,0,18
2026-07-07,ecmwf,1,23,16.5,1.5,29.2
2026-07-07,ecmwf,2,22.6,15.9,0.6,26.4
2026-07-07,ecmwf,3,23.1,14.7,0.3,28
2026-07-07,ecmwf,4,20.7,15.1,3.9,25.7
2026-07-07,ecmwf,5,19.7,14.9,9,22.1
2026-07-07,ecmwf,6,19.2,14.8,3.6,21.7
2026-07-07,ecmwf,7,18.6,15,4.5,20.4
2026-07-07,icon,1,21.3,16,0,26.6
2026-07-07,icon,2,22.8,16.4,4.1,23.1
2026-07-07,icon,3,23.9,16.5,3.1,23.4
2026-07-07,icon,4,18.6,16.1,8.3,22.1
2026-07-07,icon,5,18.9,13.6,10.6,23.2
2026-07-07,icon,6,21.5,14.5,1.3,24.6
2026-07-08,ecmwf,1,21.7,13.3,0.3,19.4
2026-07-08,ecmwf,2,21.8,13.3,0,22
2026-07-08,ecmwf,3,21.2,14.8,0,20.5
2026-07-08,ecmwf,4,22.4,15.2,0.3,22.7
2026-07-08,ecmwf,5,19.6,11.7,0,19.3
2026-07-08,ecmwf,6,19.3,11.8,0,15.3
2026-07-08,ecmwf,7,16.7,12.7,3.3,19.6
2026-07-08,icon,1,23.7,11.9,0,20.4
2026-07-08,icon,2,23.7,12.3,0,20.5
2026-07-08,icon,3,23.5,12.2,0,19.1
2026-07-08,icon,4,23.1,14.7,1.1,18.6
2026-07-08,icon,5,20.6,12.2,0,23.3
2026-07-08,icon,6,20.7,10.3,0.5,28.6
2026-07-09,ecmwf,1,21.6,13.5,0.6,14.1
2026-07-09,ecmwf,2,20.5,15.5,0.9,15.3
2026-07-09,ecmwf,3,20.8,15.9,0.3,14.1
2026-07-09,ecmwf,4,23.4,14.7,0.3,14.5
2026-07-09,ecmwf,5,25,13.1,0,11
2026-07-09,ecmwf,6,22.9,12,0.3,10.9
2026-07-09,ecmwf,7,22,11.5,0,15.4
2026-07-09,icon,1,21.4,13.5,0,13.7
2026-07-09,icon,2,21.9,13.7,0,13.2
2026-07-09,icon,3,22.8,15.9,0,13.4
2026-07-09,icon,4,24.6,13.7,0,13.4
